target_type,scale_k,wind_capacity_MW,pv_capacity_MW,annual_NH3_t,annual_load_shed_MWh,annual_curtail_MWh,annual_curtailment_ratio,annual_unit_cost_yuan_per_t,annual_plant_utilization,feasible
production_autonomy,0.8,32.0,51.2,7856.367614,34.047,6575.991,0.047972,4199.593401,0.303101,0
production_autonomy,0.82,32.8,52.48,8043.546014,29.3742,7409.0394,0.05273,4198.769347,0.310322,0
production_autonomy,0.84,33.6,53.76,8252.507624,24.7014,7940.7534,0.055169,4191.303785,0.318384,0
production_autonomy,0.86,34.4,55.04,8447.09348,21.1308,8672.4342,0.058851,4188.489751,0.325891,0
production_autonomy,0.88,35.2,56.32,8656.065542,19.0344,9206.58,0.061056,4181.617354,0.333953,0
production_autonomy,0.9,36.0,57.6,8860.501518,17.244,9803.781,0.063572,4176.352609,0.34184,0
production_autonomy,0.92,36.8,58.88,9044.437272,15.4536,10684.5684,0.067777,4177.000149,0.348937,0
production_autonomy,0.94,37.6,60.16,9274.842043,13.6632,10922.5344,0.067812,4165.046444,0.357826,0
production_autonomy,0.96,38.4,61.44,9445.718559,11.8728,11983.9746,0.072852,4169.339408,0.364418,0
production_autonomy,0.98,39.2,62.72,9611.917157,10.0824,13110.126,0.078072,4174.699335,0.37083,0
production_autonomy,1.0,40.0,64.0,9781.557398,8.292,14188.668,0.082805,4178.993136,0.377375,0
production_autonomy,1.02,40.8,65.28,9943.96719,6.5016,15367.2312,0.087924,4184.96959,0.383641,0
production_autonomy,1.04,41.6,66.56,10127.719214,4.7112,16250.5602,0.09119,4185.437037,0.39073,0
production_autonomy,1.06,42.4,67.84,10291.77039,2.9208,17406.4176,0.095833,4190.708287,0.397059,0
production_autonomy,1.08,43.2,69.12,10449.618593,1.1304,18648.0828,0.100768,4197.314853,0.403149,0
production_autonomy,1.1,44.0,70.4,10633.783663,0.0,19526.358,0.103596,4197.448469,0.410254,0
production_autonomy,1.12,44.8,71.68,10812.95666,0.0,20474.8206,0.106688,4198.745533,0.417167,0
production_autonomy,1.14,45.6,72.96,10965.266545,0.0,21794.8896,0.111574,4206.204116,0.423043,0
production_autonomy,1.16,46.4,74.24,11120.199918,0.0,23078.667,0.116109,4212.857729,0.42902,0
production_autonomy,1.18,47.2,75.52,11285.493745,0.0,24219.1248,0.119781,4216.985976,0.435397,0
production_autonomy,1.2,48.0,76.8,11440.550386,0.0,25501.197,0.12402,4223.279798,0.441379,0
production_autonomy,1.22,48.8,78.08,11590.470998,0.0,26854.3176,0.12846,4230.540469,0.447163,0
production_autonomy,1.24,49.6,79.36,11734.04108,0.0,28295.2872,0.13317,4239.006579,0.452702,0
production_autonomy,1.26,50.4,80.64,11875.358559,0.0,29767.4178,0.137874,4247.757338,0.458154,0
production_autonomy,1.28,51.2,81.92,12015.116458,0.0,31261.1226,0.14253,4256.638287,0.463546,0
production_autonomy,1.3,52.0,83.2,12153.529952,0.0,32773.425,0.147127,4265.602355,0.468886,0
production_autonomy,1.32,52.8,84.48,12291.266733,0.0,34295.0886,0.151625,4274.508059,0.4742,0
production_autonomy,1.34,53.6,85.76,12432.751677,0.0,35764.9026,0.155763,4282.427856,0.479659,0
production_autonomy,1.36,54.4,87.04,12567.842371,0.0,37323.1704,0.160159,4291.5037,0.48487,0
production_autonomy,1.38,55.2,88.32,12704.915234,0.0,38854.0182,0.164312,4299.975762,0.490159,0
production_autonomy,1.4,56.0,89.6,12835.697855,0.0,40471.881,0.168709,4309.561013,0.495204,0
production_autonomy,1.42,56.8,90.88,12966.380545,0.0,42091.1262,0.172988,4318.973341,0.500246,1
production_autonomy,1.419019,56.76076,90.817216,12959.99999,0.0,42011.295871,0.172779,4318.510082,0.5,1
full_production_autonomy,0.5,20.0,32.0,4095.020386,271.455,7440.033,0.08684,4813.522068,0.157987,0
full_production_autonomy,0.52,20.8,33.28,4348.242043,245.772,7338.4728,0.08236,4737.789155,0.167756,0
full_production_autonomy,0.54,21.6,34.56,4623.071552,221.58,6939.495,0.074998,4656.357022,0.178359,0
full_production_autonomy,0.56,22.4,35.84,4850.583224,198.636,7196.3286,0.074996,4612.513169,0.187137,0
full_production_autonomy,0.58,23.2,37.12,5126.14813,177.8838,6790.6176,0.068327,4545.366715,0.197768,0
full_production_autonomy,0.6,24.0,38.4,5405.236699,158.931,6337.962,0.061647,4483.234467,0.208535,0
full_production_autonomy,0.62,24.8,39.68,5700.411889,141.5946,5664.3912,0.053318,4419.415906,0.219923,0
full_production_autonomy,0.64,25.6,40.96,5951.792776,125.0778,5597.4612,0.051042,4381.705674,0.229622,0
full_production_autonomy,0.66,26.4,42.24,6220.510612,109.9782,5292.1206,0.046795,4339.584211,0.239989,0
full_production_autonomy,0.68,27.2,43.52,6492.445243,94.8786,4942.281,0.042416,4299.646526,0.25048,0
full_production_autonomy,0.7,28.0,44.8,6769.816265,81.402,4518.861,0.037674,4260.835833,0.261181,0
full_production_autonomy,0.72,28.8,46.08,7012.165663,69.786,4581.7674,0.037138,4237.853018,0.270531,0
full_production_autonomy,0.74,29.6,47.36,7240.220545,58.8756,4843.1202,0.038195,4221.437791,0.279329,0
full_production_autonomy,0.76,30.4,48.64,7456.714525,49.8084,5266.242,0.040439,4209.960565,0.287682,0
full_production_autonomy,0.78,31.2,49.92,7658.800872,41.3694,5889.2976,0.044064,4203.893139,0.295478,0
full_production_autonomy,0.8,32.0,51.2,7856.367614,34.047,6575.991,0.047972,4199.593401,0.303101,0
full_production_autonomy,0.82,32.8,52.48,8043.546014,29.3742,7409.0394,0.05273,4198.769347,0.310322,0
full_production_autonomy,0.84,33.6,53.76,8252.507624,24.7014,7940.7534,0.055169,4191.303785,0.318384,0
full_production_autonomy,0.86,34.4,55.04,8447.09348,21.1308,8672.4342,0.058851,4188.489751,0.325891,0
full_production_autonomy,0.88,35.2,56.32,8656.065542,19.0344,9206.58,0.061056,4181.617354,0.333953,0
full_production_autonomy,0.9,36.0,57.6,8860.501518,17.244,9803.781,0.063572,4176.352609,0.34184,0
full_production_autonomy,0.92,36.8,58.88,9044.437272,15.4536,10684.5684,0.067777,4177.000149,0.348937,0
full_production_autonomy,0.94,37.6,60.16,9274.842043,13.6632,10922.5344,0.067812,4165.046444,0.357826,0
full_production_autonomy,0.96,38.4,61.44,9445.718559,11.8728,11983.9746,0.072852,4169.339408,0.364418,0
full_production_autonomy,0.98,39.2,62.72,9611.917157,10.0824,13110.126,0.078072,4174.699335,0.37083,0
full_production_autonomy,1.0,40.0,64.0,9781.557398,8.292,14188.668,0.082805,4178.993136,0.377375,0
full_production_autonomy,1.02,40.8,65.28,9943.96719,6.5016,15367.2312,0.087924,4184.96959,0.383641,0
full_production_autonomy,1.04,41.6,66.56,10127.719214,4.7112,16250.5602,0.09119,4185.437037,0.39073,0
full_production_autonomy,1.06,42.4,67.84,10291.77039,2.9208,17406.4176,0.095833,4190.708287,0.397059,0
full_production_autonomy,1.08,43.2,69.12,10449.618593,1.1304,18648.0828,0.100768,4197.314853,0.403149,0
full_production_autonomy,1.1,44.0,70.4,10633.783663,0.0,19526.358,0.103596,4197.448469,0.410254,0
full_production_autonomy,1.12,44.8,71.68,10812.95666,0.0,20474.8206,0.106688,4198.745533,0.417167,0
full_production_autonomy,1.14,45.6,72.96,10965.266545,0.0,21794.8896,0.111574,4206.204116,0.423043,0
full_production_autonomy,1.16,46.4,74.24,11120.199918,0.0,23078.667,0.116109,4212.857729,0.42902,0
full_production_autonomy,1.18,47.2,75.52,11285.493745,0.0,24219.1248,0.119781,4216.985976,0.435397,0
full_production_autonomy,1.2,48.0,76.8,11440.550386,0.0,25501.197,0.12402,4223.279798,0.441379,0
full_production_autonomy,1.22,48.8,78.08,11590.470998,0.0,26854.3176,0.12846,4230.540469,0.447163,0
full_production_autonomy,1.24,49.6,79.36,11734.04108,0.0,28295.2872,0.13317,4239.006579,0.452702,0
full_production_autonomy,1.26,50.4,80.64,11875.358559,0.0,29767.4178,0.137874,4247.757338,0.458154,0
full_production_autonomy,1.28,51.2,81.92,12015.116458,0.0,31261.1226,0.14253,4256.638287,0.463546,0
full_production_autonomy,1.3,52.0,83.2,12153.529952,0.0,32773.425,0.147127,4265.602355,0.468886,0
full_production_autonomy,1.32,52.8,84.48,12291.266733,0.0,34295.0886,0.151625,4274.508059,0.4742,0
full_production_autonomy,1.34,53.6,85.76,12432.751677,0.0,35764.9026,0.155763,4282.427856,0.479659,0
full_production_autonomy,1.36,54.4,87.04,12567.842371,0.0,37323.1704,0.160159,4291.5037,0.48487,0
full_production_autonomy,1.38,55.2,88.32,12704.915234,0.0,38854.0182,0.164312,4299.975762,0.490159,0
full_production_autonomy,1.4,56.0,89.6,12835.697855,0.0,40471.881,0.168709,4309.561013,0.495204,0
full_production_autonomy,1.42,56.8,90.88,12966.380545,0.0,42091.1262,0.172988,4318.973341,0.500246,0
full_production_autonomy,1.44,57.6,92.16,13096.463812,0.0,43718.6634,0.177181,4328.319608,0.505265,0
full_production_autonomy,1.46,58.4,93.44,13248.488516,0.0,45042.6774,0.180046,4333.060428,0.51113,0
full_production_autonomy,1.48,59.2,94.72,13376.892708,0.0,46693.4418,0.184123,4342.408335,0.516084,0
full_production_autonomy,1.5,60.0,96.0,13504.790386,0.0,48351.213,0.188117,4351.679152,0.521018,0
full_production_autonomy,1.52,60.8,97.28,13632.155957,0.0,50016.345,0.192035,4360.881137,0.525932,0
full_production_autonomy,1.54,61.6,98.56,13776.754598,0.0,51443.0862,0.194948,4366.532579,0.531511,0
full_production_autonomy,1.56,62.4,99.84,13905.848993,0.0,53084.3028,0.198589,4375.081874,0.536491,0
full_production_autonomy,1.58,63.2,101.12,14047.230535,0.0,54555.5472,0.201509,4381.098373,0.541946,0
full_production_autonomy,1.6,64.0,102.4,14169.110964,0.0,56296.557,0.205341,4390.737613,0.546648,0
full_production_autonomy,1.62,64.8,103.68,14308.842188,0.0,57790.6308,0.208188,4396.803488,0.552039,0
full_production_autonomy,1.64,65.6,104.96,14429.813942,0.0,59544.2106,0.211889,4406.307783,0.556706,0
full_production_autonomy,1.66,66.4,106.24,14549.69919,0.0,61312.8204,0.215554,4415.859252,0.561331,0
full_production_autonomy,1.68,67.2,107.52,14669.027349,0.0,63089.1366,0.219159,4425.359331,0.565935,0
full_production_autonomy,1.7,68.0,108.8,14787.329855,0.0,64879.641,0.222727,4434.898019,0.570499,0
full_production_autonomy,1.72,68.8,110.08,14913.310641,0.0,66563.9292,0.225852,4442.855723,0.575359,0
full_production_autonomy,1.74,69.6,111.36,15029.924747,0.0,68377.7898,0.22934,4452.414486,0.579858,0
full_production_autonomy,1.76,70.4,112.64,15145.848304,0.0,70201.203,0.23278,4461.953457,0.584331,0
full_production_autonomy,1.78,71.2,113.92,15278.244072,0.0,71796.7506,0.235395,4468.324734,0.589438,0
full_production_autonomy,1.8,72.0,115.2,15391.227904,0.0,73660.83,0.238824,4478.12672,0.593797,0
full_production_autonomy,1.82,72.8,116.48,15502.965267,0.0,75542.1522,0.242232,4488.012589,0.598108,0
full_production_autonomy,1.84,73.6,117.76,15614.152525,0.0,77431.0842,0.24559,4497.856681,0.602398,0
full_production_autonomy,1.86,74.4,119.04,15724.757581,0.0,79328.07,0.248901,4507.666712,0.606665,0
full_production_autonomy,1.88,75.2,120.32,15832.956101,0.0,81258.3462,0.252245,4517.77284,0.610839,0
full_production_autonomy,1.9,76.0,121.6,15939.986313,0.0,83204.784,0.255569,4527.951406,0.614969,0
full_production_autonomy,1.92,76.8,122.88,16046.640694,0.0,85156.4208,0.258839,4538.061421,0.619083,0
full_production_autonomy,1.94,77.6,124.16,16152.915643,0.0,87113.3064,0.262057,4548.105591,0.623183,0
full_production_autonomy,1.96,78.4,125.44,16258.555778,0.0,89078.9736,0.265236,4558.131311,0.627259,0
full_production_autonomy,1.98,79.2,126.72,16363.608593,0.0,91052.7654,0.268374,4568.131686,0.631312,0
full_production_autonomy,2.0,80.0,128.0,16467.053639,0.0,93048.798,0.271515,4578.288631,0.635303,0
full_production_autonomy,2.02,80.8,129.28,16569.902949,0.0,95053.0716,0.274617,4588.423766,0.639271,0
full_production_autonomy,2.04,81.6,130.56,16672.199855,0.0,97064.9868,0.277681,4598.530967,0.643218,0
full_production_autonomy,2.06,82.4,131.84,16772.974265,0.0,99097.9632,0.280744,4608.781836,0.647105,0
full_production_autonomy,2.08,83.2,133.12,16873.431007,0.0,101135.334,0.283761,4618.965824,0.650981,0
full_production_autonomy,2.1,84.0,134.4,16973.70094,0.0,103175.289,0.286728,4629.061861,0.65485,0
full_production_autonomy,2.12,84.8,135.68,17072.030906,0.0,105242.0802,0.289712,4639.376966,0.658643,0
full_production_autonomy,2.14,85.6,136.96,17169.187186,0.0,107325.1074,0.292685,4649.777771,0.662391,0
full_production_autonomy,2.16,86.4,138.24,17266.264395,0.0,109409.2284,0.295606,4660.07523,0.666137,0
full_production_autonomy,2.18,87.2,139.52,17362.316646,0.0,111507.528,0.298511,4670.434799,0.669842,0
full_production_autonomy,2.2,88.0,140.8,17456.865831,0.0,113626.62,0.301419,4680.9398,0.67349,0
full_production_autonomy,2.22,88.8,142.08,17550.704689,0.0,115755.5382,0.3043,4691.453997,0.677111,0
full_production_autonomy,2.24,89.6,143.36,17642.443836,0.0,117913.5024,0.307205,4702.217473,0.68065,0
full_production_autonomy,2.26,90.4,144.64,17733.76148,0.0,120077.2974,0.310074,4712.941968,0.684173,0
full_production_autonomy,2.28,91.2,145.92,17824.460834,0.0,122249.6454,0.312915,4723.662583,0.687672,0
full_production_autonomy,2.3,92.0,147.2,17914.25906,0.0,124434.459,0.315737,4734.428904,0.691137,0
full_production_autonomy,2.32,92.8,148.48,18002.67081,0.0,126638.4522,0.31856,4745.324836,0.694547,0
full_production_autonomy,2.34,93.6,149.76,18090.576867,0.0,128849.4408,0.321351,4756.200602,0.697939,0
full_production_autonomy,2.36,94.4,151.04,18178.020173,0.0,131066.8308,0.324111,4767.050081,0.701313,0
full_production_autonomy,2.38,95.2,152.32,18264.469836,0.0,133297.9662,0.326858,4777.964881,0.704648,0
full_production_autonomy,2.4,96.0,153.6,18350.12841,0.0,135540.045,0.329587,4788.911397,0.707952,0
full_production_autonomy,2.42,96.8,154.88,18435.065552,0.0,137792.1036,0.332294,4799.878761,0.711229,0
full_production_autonomy,2.44,97.6,156.16,18519.902284,0.0,140045.5512,0.33496,4810.762568,0.714502,0
full_production_autonomy,2.46,98.4,157.44,18604.55212,0.0,142301.5842,0.337589,4821.578798,0.717768,0
full_production_autonomy,2.48,99.2,158.72,18687.613055,0.0,144579.597,0.340227,4832.566119,0.720973,0
full_production_autonomy,2.5,100.0,160.0,18768.817518,0.0,146883.291,0.342883,4843.770326,0.724106,0
full_production_autonomy,2.52,100.8,161.28,18849.483499,0.0,149194.434,0.345514,4854.96905,0.727218,0
full_production_autonomy,2.54,101.6,162.56,18929.957031,0.0,151508.2392,0.348109,4866.104849,0.730322,0
full_production_autonomy,2.56,102.4,163.84,19008.828043,0.0,153844.2126,0.350715,4877.416942,0.733365,0
full_production_autonomy,2.58,103.2,165.12,19087.519359,0.0,156182.6718,0.353286,4888.665874,0.736401,0
full_production_autonomy,2.6,104.0,166.4,19184.062337,0.0,158274.183,0.355263,4896.814764,0.740126,0
full_production_autonomy,2.62,104.8,167.68,19262.574347,0.0,160615.1226,0.357765,4907.912283,0.743155,0
full_production_autonomy,2.64,105.6,168.96,19341.029537,0.0,162956.8482,0.360232,4918.929255,0.746182,0
full_production_autonomy,2.66,106.4,170.24,19419.096448,0.0,165303.945,0.362673,4929.922437,0.749194,0
full_production_autonomy,2.68,107.2,171.52,19496.549364,0.0,167659.5354,0.365096,4940.930665,0.752182,0
full_production_autonomy,2.7,108.0,172.8,19591.516193,0.0,169772.85,0.366959,4948.915865,0.755846,0
full_production_autonomy,2.72,108.8,174.08,19667.218641,0.0,172152.6552,0.369367,4960.045811,0.758766,0
full_production_autonomy,2.74,109.6,175.36,19742.643455,0.0,174536.301,0.371748,4971.136858,0.761676,0
full_production_autonomy,2.76,110.4,176.64,19816.892588,0.0,176936.2104,0.374128,4982.340123,0.764541,0
full_production_autonomy,2.78,111.2,177.92,19890.124525,0.0,179350.191,0.376504,4993.629832,0.767366,0
full_production_autonomy,2.8,112.0,179.2,19962.550843,0.0,181775.316,0.37887,5004.971389,0.77016,0
full_production_autonomy,2.82,112.8,180.48,20033.531219,0.0,184220.4432,0.381243,5016.472633,0.772899,0
full_production_autonomy,2.84,113.6,181.76,20101.68668,0.0,186704.6484,0.383663,5028.364883,0.775528,0
full_production_autonomy,2.86,114.4,183.04,20168.361846,0.0,189209.331,0.386091,5040.424294,0.7781,0
full_production_autonomy,2.88,115.2,184.32,20233.911427,0.0,191729.5842,0.388517,5052.592521,0.780629,0
full_production_autonomy,2.9,116.0,185.6,20298.158675,0.0,194267.853,0.390945,5064.900116,0.783108,0
full_production_autonomy,2.92,116.8,186.88,20361.693383,0.0,196815.9786,0.39336,5077.249356,0.785559,0
full_production_autonomy,2.94,117.6,188.16,20424.683364,0.0,199371.6396,0.395757,5089.61303,0.787989,0
full_production_autonomy,2.96,118.4,189.44,20487.430757,0.0,201930.6564,0.398129,5101.941343,0.79041,0
full_production_autonomy,2.98,119.2,190.72,20549.088607,0.0,204504.7452,0.400498,5114.377111,0.792789,0
full_production_autonomy,3.0,120.0,192.0,20610.268048,0.0,207085.452,0.402848,5126.818767,0.795149,0
full_production_autonomy,3.02,120.8,193.28,20670.995884,0.0,209672.406,0.405179,5139.262621,0.797492,0
full_production_autonomy,3.04,121.6,194.56,20729.998496,0.0,212283.2256,0.407526,5151.923521,0.799768,0
full_production_autonomy,3.06,122.4,195.84,20788.625104,0.0,214899.2466,0.409851,5164.575802,0.80203,0
full_production_autonomy,3.08,123.2,197.12,20847.027166,0.0,217518.3738,0.412153,5177.194722,0.804283,0
full_production_autonomy,3.1,124.0,198.4,20905.429229,0.0,220137.501,0.414424,5189.743138,0.806537,0
full_production_autonomy,3.12,124.8,199.68,20963.831292,0.0,222756.6282,0.416667,5202.221637,0.80879,0
full_production_autonomy,3.14,125.6,200.96,21022.233354,0.0,225375.7554,0.418881,5214.630802,0.811043,0
full_production_autonomy,3.16,126.4,202.24,21080.205933,0.0,228000.8238,0.421078,5227.043728,0.81328,0
full_production_autonomy,3.18,127.2,203.52,21136.732048,0.0,230645.9016,0.423284,5239.632993,0.81546,0
full_production_autonomy,3.2,128.0,204.8,21189.170602,0.0,233347.524,0.425565,5252.846579,0.817483,0
full_production_autonomy,3.22,128.8,206.08,21238.496241,0.0,236092.2084,0.427897,5266.52233,0.819386,0
full_production_autonomy,3.24,129.6,207.36,21287.278496,0.0,238844.4096,0.430213,5280.226918,0.821268,0
full_production_autonomy,3.26,130.4,208.64,21335.438082,0.0,241605.2244,0.432516,5293.974669,0.823126,0
full_production_autonomy,3.28,131.2,209.92,21383.360154,0.0,244369.3248,0.434796,5307.700925,0.824975,0
full_production_autonomy,3.3,132.0,211.2,21430.440651,0.0,247145.067,0.43707,5321.509277,0.826792,0
full_production_autonomy,3.32,132.8,212.48,21477.031807,0.0,249927.5784,0.439328,5335.340654,0.828589,0
full_production_autonomy,3.34,133.6,213.76,21523.197036,0.0,252715.9818,0.44157,5349.185004,0.83037,0
full_production_autonomy,3.36,134.4,215.04,21569.095475,0.0,255508.0758,0.443791,5363.015799,0.832141,0
full_production_autonomy,3.38,135.2,216.32,21614.804892,0.0,258302.7846,0.44599,5376.820292,0.833905,0
full_production_autonomy,3.4,136.0,217.6,21660.311928,0.0,261100.293,0.448169,5390.601307,0.83566,0
full_production_autonomy,3.42,136.8,218.88,21705.818964,0.0,263897.8014,0.450322,5404.324538,0.837416,0
full_production_autonomy,3.44,137.6,220.16,21751.326,0.0,266695.3098,0.452449,5417.990346,0.839172,0
full_production_autonomy,3.46,138.4,221.44,21796.833036,0.0,269492.8182,0.454553,5431.599092,0.840927,0
full_production_autonomy,3.48,139.2,222.72,21842.340072,0.0,272290.3266,0.456632,5445.151132,0.842683,0
full_production_autonomy,3.5,140.0,224.0,21887.816964,0.0,275088.252,0.458688,5458.652042,0.844437,0
full_production_autonomy,3.52,140.8,225.28,21932.784347,0.0,277893.2256,0.460732,5472.185343,0.846172,0
full_production_autonomy,3.54,141.6,226.56,21977.392294,0.0,280703.1714,0.462761,5485.725708,0.847893,0
full_production_autonomy,3.56,142.4,227.84,22021.782983,0.0,283516.1226,0.464773,5499.249019,0.849606,0
full_production_autonomy,3.58,143.2,229.12,22066.173672,0.0,286329.0738,0.466762,5512.717919,0.851318,0
full_production_autonomy,3.6,144.0,230.4,22109.970145,0.0,289150.245,0.468742,5526.236436,0.853008,0
full_production_autonomy,3.62,144.8,231.68,22152.307402,0.0,291991.602,0.470733,5539.956561,0.854641,0
full_production_autonomy,3.64,145.6,232.96,22194.22012,0.0,294838.8318,0.472712,5553.698674,0.856258,0
full_production_autonomy,3.66,146.4,234.24,22235.509995,0.0,297694.6776,0.474682,5567.498218,0.857851,0
full_production_autonomy,3.68,147.2,235.52,22276.512781,0.0,300554.4948,0.476638,5581.297044,0.859433,0
full_production_autonomy,3.7,148.0,236.8,22317.191133,0.0,303418.8,0.478579,5595.10226,0.861003,0
full_production_autonomy,3.72,148.8,238.08,22357.195981,0.0,306292.422,0.480514,5608.975968,0.862546,0
full_production_autonomy,3.74,149.6,239.36,22397.200829,0.0,309166.044,0.482429,5622.800116,0.86409,0
full_production_autonomy,3.76,150.4,240.64,22437.205677,0.0,312039.666,0.484323,5636.574967,0.865633,0
full_production_autonomy,3.78,151.2,241.92,22477.210525,0.0,314913.288,0.486197,5650.300785,0.867176,0
full_production_autonomy,3.8,152.0,243.2,22517.043614,0.0,317789.286,0.488055,5664.008315,0.868713,0
full_production_autonomy,3.82,152.8,244.48,22556.72932,0.0,320667.3228,0.489897,5677.693634,0.870244,0
full_production_autonomy,3.84,153.6,245.76,22595.299243,0.0,323560.7946,0.491742,5691.529576,0.871732,0
full_production_autonomy,3.86,154.4,247.04,22632.648376,0.0,326471.154,0.493595,5705.536152,0.873173,0
full_production_autonomy,3.88,155.2,248.32,22687.444063,0.0,329140.1694,0.495065,5716.380734,0.875287,0
full_production_autonomy,3.9,156.0,249.6,22724.312747,0.0,332057.175,0.496891,5730.375565,0.87671,0
full_production_autonomy,3.92,156.8,250.88,22759.732757,0.0,334994.2206,0.498729,5744.584541,0.878076,0
full_production_autonomy,3.94,157.6,252.16,22794.391301,0.0,337941.7998,0.500563,5758.886025,0.879413,0
