target_type,wind_capacity_MW,pv_capacity_MW,total_capacity_MW,annual_NH3_t,annual_load_shed_MWh,annual_curtail_MWh,annual_curtailment_ratio,annual_unit_cost_yuan_per_t,annual_plant_utilization,feasible,objective_value,min_daily_NH3_t,max_daily_load_shed_MWh
full_production_autonomy,40.0,159.0,199.0,11767.660265,8.292,102395.745,0.356739,4934.795657,0.453999,0,199.0,,
basic_autonomy,40.0,164.0,204.0,11830.343205,8.292,107617.131,0.367142,4979.242952,0.456418,0,204.0,,
production_autonomy,40.0,164.0,204.0,11830.343205,8.292,107617.131,0.367142,4979.242952,0.456418,0,204.0,,
full_production_autonomy,40.0,164.0,204.0,11830.343205,8.292,107617.131,0.367142,4979.242952,0.456418,0,204.0,,
basic_autonomy,40.0,169.0,209.0,11889.799373,8.292,112883.154,0.377271,5024.132385,0.458711,0,209.0,,
production_autonomy,40.0,169.0,209.0,11889.799373,8.292,112883.154,0.377271,5024.132385,0.458711,0,209.0,,
full_production_autonomy,40.0,169.0,209.0,11889.799373,8.292,112883.154,0.377271,5024.132385,0.458711,0,209.0,,
basic_autonomy,40.0,174.0,214.0,11947.351229,8.292,118175.52,0.387082,5069.117182,0.460932,0,214.0,,
production_autonomy,40.0,174.0,214.0,11947.351229,8.292,118175.52,0.387082,5069.117182,0.460932,0,214.0,,
full_production_autonomy,40.0,174.0,214.0,11947.351229,8.292,118175.52,0.387082,5069.117182,0.460932,0,214.0,,
basic_autonomy,40.0,179.0,219.0,12001.491976,8.292,123515.073,0.396661,5114.650099,0.463021,0,219.0,,
production_autonomy,40.0,179.0,219.0,12001.491976,8.292,123515.073,0.396661,5114.650099,0.463021,0,219.0,,
full_production_autonomy,40.0,179.0,219.0,12001.491976,8.292,123515.073,0.396661,5114.650099,0.463021,0,219.0,,
basic_autonomy,40.0,184.0,224.0,12054.787157,8.292,128866.323,0.40591,5160.018995,0.465077,0,224.0,,
production_autonomy,40.0,184.0,224.0,12054.787157,8.292,128866.323,0.40591,5160.018995,0.465077,0,224.0,,
full_production_autonomy,40.0,184.0,224.0,12054.787157,8.292,128866.323,0.40591,5160.018995,0.465077,0,224.0,,
basic_autonomy,40.0,189.0,229.0,12110.406723,8.292,134185.419,0.414711,5204.309571,0.467222,0,229.0,,
production_autonomy,40.0,189.0,229.0,12110.406723,8.292,134185.419,0.414711,5204.309571,0.467222,0,229.0,,
full_production_autonomy,40.0,189.0,229.0,12110.406723,8.292,134185.419,0.414711,5204.309571,0.467222,0,229.0,,
basic_autonomy,40.0,194.0,234.0,12160.401181,8.292,139582.329,0.423423,5249.851444,0.469151,0,234.0,,
production_autonomy,40.0,194.0,234.0,12160.401181,8.292,139582.329,0.423423,5249.851444,0.469151,0,234.0,,
full_production_autonomy,40.0,194.0,234.0,12160.401181,8.292,139582.329,0.423423,5249.851444,0.469151,0,234.0,,
basic_autonomy,40.0,199.0,239.0,12209.846964,8.292,144986.829,0.431842,5295.183386,0.471059,0,239.0,,
production_autonomy,40.0,199.0,239.0,12209.846964,8.292,144986.829,0.431842,5295.183386,0.471059,0,239.0,,
full_production_autonomy,40.0,199.0,239.0,12209.846964,8.292,144986.829,0.431842,5295.183386,0.471059,0,239.0,,
basic_autonomy,40.0,204.0,244.0,12258.097807,8.292,150407.859,0.440009,5340.50765,0.47292,0,244.0,,
production_autonomy,40.0,204.0,244.0,12258.097807,8.292,150407.859,0.440009,5340.50765,0.47292,0,244.0,,
full_production_autonomy,40.0,204.0,244.0,12258.097807,8.292,150407.859,0.440009,5340.50765,0.47292,0,244.0,,
basic_autonomy,40.0,209.0,249.0,12303.062892,8.292,155874.342,0.448021,5386.469407,0.474655,0,249.0,,
production_autonomy,40.0,209.0,249.0,12303.062892,8.292,155874.342,0.448021,5386.469407,0.474655,0,249.0,,
full_production_autonomy,40.0,209.0,249.0,12303.062892,8.292,155874.342,0.448021,5386.469407,0.474655,0,249.0,,
basic_autonomy,40.0,214.0,254.0,12343.597373,8.292,161402.115,0.45593,5433.447629,0.476219,0,254.0,,
production_autonomy,40.0,214.0,254.0,12343.597373,8.292,161402.115,0.45593,5433.447629,0.476219,0,254.0,,
full_production_autonomy,40.0,214.0,254.0,12343.597373,8.292,161402.115,0.45593,5433.447629,0.476219,0,254.0,,
basic_autonomy,40.0,219.0,259.0,12381.258578,8.292,166969.635,0.463683,5481.003065,0.477672,0,259.0,,
production_autonomy,40.0,219.0,259.0,12381.258578,8.292,166969.635,0.463683,5481.003065,0.477672,0,259.0,,
full_production_autonomy,40.0,219.0,259.0,12381.258578,8.292,166969.635,0.463683,5481.003065,0.477672,0,259.0,,
basic_autonomy,40.0,224.0,264.0,12417.017855,8.292,172563.465,0.471249,5528.861404,0.479052,0,264.0,,
production_autonomy,40.0,224.0,264.0,12417.017855,8.292,172563.465,0.471249,5528.861404,0.479052,0,264.0,,
full_production_autonomy,40.0,224.0,264.0,12417.017855,8.292,172563.465,0.471249,5528.861404,0.479052,0,264.0,,
basic_autonomy,40.0,229.0,269.0,12452.354241,8.292,178163.145,0.478584,5576.577629,0.480415,0,269.0,,
production_autonomy,40.0,229.0,269.0,12452.354241,8.292,178163.145,0.478584,5576.577629,0.480415,0,269.0,,
full_production_autonomy,40.0,229.0,269.0,12452.354241,8.292,178163.145,0.478584,5576.577629,0.480415,0,269.0,,
basic_autonomy,40.0,234.0,274.0,12486.836169,8.292,183774.645,0.485714,5624.294537,0.481745,0,274.0,,
production_autonomy,40.0,234.0,274.0,12486.836169,8.292,183774.645,0.485714,5624.294537,0.481745,0,274.0,,
full_production_autonomy,40.0,234.0,274.0,12486.836169,8.292,183774.645,0.485714,5624.294537,0.481745,0,274.0,,
basic_autonomy,40.0,239.0,279.0,12521.318096,8.292,189386.145,0.492618,5671.748634,0.483076,0,279.0,,
production_autonomy,40.0,239.0,279.0,12521.318096,8.292,189386.145,0.492618,5671.748634,0.483076,0,279.0,,
full_production_autonomy,40.0,239.0,279.0,12521.318096,8.292,189386.145,0.492618,5671.748634,0.483076,0,279.0,,
basic_autonomy,40.0,244.0,284.0,12554.261783,8.292,195018.924,0.499361,5719.438478,0.484347,0,284.0,,
production_autonomy,40.0,244.0,284.0,12554.261783,8.292,195018.924,0.499361,5719.438478,0.484347,0,284.0,,
full_production_autonomy,40.0,244.0,284.0,12554.261783,8.292,195018.924,0.499361,5719.438478,0.484347,0,284.0,,
basic_autonomy,40.0,249.0,289.0,12585.690217,8.292,200672.664,0.50595,5767.372214,0.485559,0,289.0,,
production_autonomy,40.0,249.0,289.0,12585.690217,8.292,200672.664,0.50595,5767.372214,0.485559,0,289.0,,
full_production_autonomy,40.0,249.0,289.0,12585.690217,8.292,200672.664,0.50595,5767.372214,0.485559,0,289.0,,
basic_autonomy,40.0,254.0,294.0,12616.248795,8.292,206338.437,0.51237,5815.353103,0.486738,0,294.0,,
production_autonomy,40.0,254.0,294.0,12616.248795,8.292,206338.437,0.51237,5815.353103,0.486738,0,294.0,,
full_production_autonomy,40.0,254.0,294.0,12616.248795,8.292,206338.437,0.51237,5815.353103,0.486738,0,294.0,,
basic_autonomy,40.0,259.0,299.0,12645.423759,8.292,212023.35,0.518645,5863.561167,0.487864,0,299.0,,
production_autonomy,40.0,259.0,299.0,12645.423759,8.292,212023.35,0.518645,5863.561167,0.487864,0,299.0,,
full_production_autonomy,40.0,259.0,299.0,12645.423759,8.292,212023.35,0.518645,5863.561167,0.487864,0,299.0,,
basic_autonomy,40.0,264.0,304.0,12674.102096,8.292,217715.133,0.524752,5911.713589,0.48897,0,304.0,,
production_autonomy,40.0,264.0,304.0,12674.102096,8.292,217715.133,0.524752,5911.713589,0.48897,0,304.0,,
full_production_autonomy,40.0,264.0,304.0,12674.102096,8.292,217715.133,0.524752,5911.713589,0.48897,0,304.0,,
basic_autonomy,40.0,269.0,309.0,12702.457518,8.292,223411.383,0.530694,5959.757699,0.490064,0,309.0,,
production_autonomy,40.0,269.0,309.0,12702.457518,8.292,223411.383,0.530694,5959.757699,0.490064,0,309.0,,
full_production_autonomy,40.0,269.0,309.0,12702.457518,8.292,223411.383,0.530694,5959.757699,0.490064,0,309.0,,
basic_autonomy,40.0,274.0,314.0,12730.81294,8.292,229107.633,0.536466,6007.58779,0.491158,0,314.0,,
production_autonomy,40.0,274.0,314.0,12730.81294,8.292,229107.633,0.536466,6007.58779,0.491158,0,314.0,,
full_production_autonomy,40.0,274.0,314.0,12730.81294,8.292,229107.633,0.536466,6007.58779,0.491158,0,314.0,,
basic_autonomy,40.0,279.0,319.0,12758.905735,8.292,234807.516,0.542085,6055.295603,0.492242,0,319.0,,
production_autonomy,40.0,279.0,319.0,12758.905735,8.292,234807.516,0.542085,6055.295603,0.492242,0,319.0,,
full_production_autonomy,40.0,279.0,319.0,12758.905735,8.292,234807.516,0.542085,6055.295603,0.492242,0,319.0,,
basic_autonomy,40.0,284.0,324.0,12785.060169,8.292,240534.213,0.547608,6103.466205,0.493251,0,324.0,,
production_autonomy,40.0,284.0,324.0,12785.060169,8.292,240534.213,0.547608,6103.466205,0.493251,0,324.0,,
full_production_autonomy,40.0,284.0,324.0,12785.060169,8.292,240534.213,0.547608,6103.466205,0.493251,0,324.0,,
basic_autonomy,40.0,289.0,329.0,12810.867398,8.292,246265.713,0.552992,6151.561646,0.494246,0,329.0,,
production_autonomy,40.0,289.0,329.0,12810.867398,8.292,246265.713,0.552992,6151.561646,0.494246,0,329.0,,
full_production_autonomy,40.0,289.0,329.0,12810.867398,8.292,246265.713,0.552992,6151.561646,0.494246,0,329.0,,
basic_autonomy,40.0,294.0,334.0,12836.674627,8.292,251997.213,0.55823,6199.463701,0.495242,0,334.0,,
production_autonomy,40.0,294.0,334.0,12836.674627,8.292,251997.213,0.55823,6199.463701,0.495242,0,334.0,,
full_production_autonomy,40.0,294.0,334.0,12836.674627,8.292,251997.213,0.55823,6199.463701,0.495242,0,334.0,,
basic_autonomy,40.0,299.0,339.0,12862.121855,8.292,257733.693,0.563339,6247.301711,0.496224,0,339.0,,
production_autonomy,40.0,299.0,339.0,12862.121855,8.292,257733.693,0.563339,6247.301711,0.496224,0,339.0,,
full_production_autonomy,40.0,299.0,339.0,12862.121855,8.292,257733.693,0.563339,6247.301711,0.496224,0,339.0,,
basic_autonomy,40.0,304.0,344.0,12887.495349,8.292,263471.193,0.568317,6294.977279,0.497203,0,344.0,,
production_autonomy,40.0,304.0,344.0,12887.495349,8.292,263471.193,0.568317,6294.977279,0.497203,0,344.0,,
full_production_autonomy,40.0,304.0,344.0,12887.495349,8.292,263471.193,0.568317,6294.977279,0.497203,0,344.0,,
basic_autonomy,40.0,309.0,349.0,12912.088554,8.292,269219.487,0.573188,6342.747987,0.498152,0,349.0,,
production_autonomy,40.0,309.0,349.0,12912.088554,8.292,269219.487,0.573188,6342.747987,0.498152,0,349.0,,
full_production_autonomy,40.0,309.0,349.0,12912.088554,8.292,269219.487,0.573188,6342.747987,0.498152,0,349.0,,
basic_autonomy,40.0,314.0,354.0,12935.052651,8.292,274990.317,0.577983,6390.931863,0.499038,0,354.0,,
production_autonomy,40.0,314.0,354.0,12935.052651,8.292,274990.317,0.577983,6390.931863,0.499038,0,354.0,,
full_production_autonomy,40.0,314.0,354.0,12935.052651,8.292,274990.317,0.577983,6390.931863,0.499038,0,354.0,,
basic_autonomy,40.0,319.0,359.0,12957.444217,8.292,280769.067,0.582672,6439.155779,0.499901,0,359.0,,
production_autonomy,40.0,319.0,359.0,12957.444217,8.292,280769.067,0.582672,6439.155779,0.499901,0,359.0,,
full_production_autonomy,40.0,319.0,359.0,12957.444217,8.292,280769.067,0.582672,6439.155779,0.499901,0,359.0,,
basic_autonomy,40.0,324.0,364.0,12979.33894,8.292,286554.69,0.587259,6487.397802,0.500746,0,364.0,,
production_autonomy,40.0,324.0,364.0,12979.33894,8.292,286554.69,0.587259,6487.397802,0.500746,0,364.0,,
full_production_autonomy,40.0,324.0,364.0,12979.33894,8.292,286554.69,0.587259,6487.397802,0.500746,0,364.0,,
basic_autonomy,40.0,329.0,369.0,13001.079904,8.292,292342.44,0.591736,6535.534911,0.501585,0,369.0,,
production_autonomy,40.0,329.0,369.0,13001.079904,8.292,292342.44,0.591736,6535.534911,0.501585,0,369.0,,
full_production_autonomy,40.0,329.0,369.0,13001.079904,8.292,292342.44,0.591736,6535.534911,0.501585,0,369.0,,
basic_autonomy,40.0,334.0,374.0,13022.278916,8.292,298137.687,0.59612,6583.715879,0.502403,0,374.0,,
production_autonomy,40.0,334.0,374.0,13022.278916,8.292,298137.687,0.59612,6583.715879,0.502403,0,374.0,,
full_production_autonomy,40.0,334.0,374.0,13022.278916,8.292,298137.687,0.59612,6583.715879,0.502403,0,374.0,,
basic_autonomy,40.0,339.0,379.0,13041.964627,8.292,303953.868,0.60044,6632.316231,0.503162,0,379.0,,
production_autonomy,40.0,339.0,379.0,13041.964627,8.292,303953.868,0.60044,6632.316231,0.503162,0,379.0,,
full_production_autonomy,40.0,339.0,379.0,13041.964627,8.292,303953.868,0.60044,6632.316231,0.503162,0,379.0,,
basic_autonomy,40.0,344.0,384.0,13061.211614,8.292,309776.118,0.604669,6680.938477,0.503905,0,384.0,,
production_autonomy,40.0,344.0,384.0,13061.211614,8.292,309776.118,0.604669,6680.938477,0.503905,0,384.0,,
full_production_autonomy,40.0,344.0,384.0,13061.211614,8.292,309776.118,0.604669,6680.938477,0.503905,0,384.0,,
basic_autonomy,40.0,349.0,389.0,13080.458602,8.292,315598.368,0.608798,6729.417635,0.504647,0,389.0,,
production_autonomy,40.0,349.0,389.0,13080.458602,8.292,315598.368,0.608798,6729.417635,0.504647,0,389.0,,
full_production_autonomy,40.0,349.0,389.0,13080.458602,8.292,315598.368,0.608798,6729.417635,0.504647,0,389.0,,
basic_autonomy,40.0,354.0,394.0,13099.456193,8.292,321424.068,0.612839,6777.851625,0.50538,0,394.0,,
production_autonomy,40.0,354.0,394.0,13099.456193,8.292,321424.068,0.612839,6777.851625,0.50538,0,394.0,,
full_production_autonomy,40.0,354.0,394.0,13099.456193,8.292,321424.068,0.612839,6777.851625,0.50538,0,394.0,,
basic_autonomy,40.0,359.0,399.0,13118.269446,8.292,327252.318,0.616791,6826.217822,0.506106,0,399.0,,
production_autonomy,40.0,359.0,399.0,13118.269446,8.292,327252.318,0.616791,6826.217822,0.506106,0,399.0,,
full_production_autonomy,40.0,359.0,399.0,13118.269446,8.292,327252.318,0.616791,6826.217822,0.506106,0,399.0,,
basic_autonomy,45.0,64.0,109.0,10566.530349,0.0,14998.8735,0.081948,4158.198244,0.407659,1,109.0,,
production_autonomy,45.0,64.0,109.0,10566.530349,0.0,14998.8735,0.081948,4158.198244,0.407659,0,109.0,,
full_production_autonomy,45.0,64.0,109.0,10566.530349,0.0,14998.8735,0.081948,4158.198244,0.407659,0,109.0,,
basic_autonomy,45.0,69.0,114.0,10748.84747,0.0,18565.32,0.098168,4183.926905,0.414693,1,114.0,,
production_autonomy,45.0,69.0,114.0,10748.84747,0.0,18565.32,0.098168,4183.926905,0.414693,0,114.0,,
full_production_autonomy,45.0,69.0,114.0,10748.84747,0.0,18565.32,0.098168,4183.926905,0.414693,0,114.0,,
basic_autonomy,45.0,74.0,119.0,10913.737229,0.0,22372.845,0.114612,4212.855076,0.421055,1,119.0,,
production_autonomy,45.0,74.0,119.0,10913.737229,0.0,22372.845,0.114612,4212.855076,0.421055,0,119.0,,
full_production_autonomy,45.0,74.0,119.0,10913.737229,0.0,22372.845,0.114612,4212.855076,0.421055,0,119.0,,
basic_autonomy,45.0,79.0,124.0,11056.381482,0.0,26488.0995,0.131589,4246.099542,0.426558,1,124.0,,
production_autonomy,45.0,79.0,124.0,11056.381482,0.0,26488.0995,0.131589,4246.099542,0.426558,0,124.0,,
full_production_autonomy,45.0,79.0,124.0,11056.381482,0.0,26488.0995,0.131589,4246.099542,0.426558,0,124.0,,
basic_autonomy,45.0,84.0,129.0,11186.099566,0.0,30782.166,0.148432,4281.514087,0.431562,1,129.0,,
production_autonomy,45.0,84.0,129.0,11186.099566,0.0,30782.166,0.148432,4281.514087,0.431562,0,129.0,,
full_production_autonomy,45.0,84.0,129.0,11186.099566,0.0,30782.166,0.148432,4281.514087,0.431562,0,129.0,,
basic_autonomy,45.0,89.0,134.0,11305.901169,0.0,35213.4105,0.164956,4318.439661,0.436184,1,134.0,,
production_autonomy,45.0,89.0,134.0,11305.901169,0.0,35213.4105,0.164956,4318.439661,0.436184,0,134.0,,
full_production_autonomy,45.0,89.0,134.0,11305.901169,0.0,35213.4105,0.164956,4318.439661,0.436184,0,134.0,,
basic_autonomy,45.0,94.0,139.0,11415.008386,0.0,39792.594,0.181238,4357.108186,0.440394,1,139.0,,
production_autonomy,45.0,94.0,139.0,11415.008386,0.0,39792.594,0.181238,4357.108186,0.440394,0,139.0,,
full_production_autonomy,45.0,94.0,139.0,11415.008386,0.0,39792.594,0.181238,4357.108186,0.440394,0,139.0,,
basic_autonomy,45.0,99.0,144.0,11520.626747,0.0,44420.04,0.196856,4395.870452,0.444469,1,144.0,,
production_autonomy,45.0,99.0,144.0,11520.626747,0.0,44420.04,0.196856,4395.870452,0.444469,0,144.0,,
full_production_autonomy,45.0,99.0,144.0,11520.626747,0.0,44420.04,0.196856,4395.870452,0.444469,0,144.0,,
basic_autonomy,45.0,104.0,149.0,11611.659253,0.0,49249.257,0.212523,4437.403256,0.447981,1,149.0,,
production_autonomy,45.0,104.0,149.0,11611.659253,0.0,49249.257,0.212523,4437.403256,0.447981,0,149.0,,
full_production_autonomy,45.0,104.0,149.0,11611.659253,0.0,49249.257,0.212523,4437.403256,0.447981,0,149.0,,
basic_autonomy,45.0,109.0,154.0,11699.650735,0.0,54120.5415,0.227565,4479.020462,0.451375,1,154.0,,
production_autonomy,45.0,109.0,154.0,11699.650735,0.0,54120.5415,0.227565,4479.020462,0.451375,0,154.0,,
full_production_autonomy,45.0,109.0,154.0,11699.650735,0.0,54120.5415,0.227565,4479.020462,0.451375,0,154.0,,
basic_autonomy,45.0,114.0,159.0,11785.66959,0.0,59019.114,0.241967,4520.493758,0.454694,1,159.0,,
production_autonomy,45.0,114.0,159.0,11785.66959,0.0,59019.114,0.241967,4520.493758,0.454694,0,159.0,,
full_production_autonomy,45.0,114.0,159.0,11785.66959,0.0,59019.114,0.241967,4520.493758,0.454694,0,159.0,,
basic_autonomy,45.0,119.0,164.0,11869.298566,0.0,63950.7465,0.255801,4561.948693,0.45792,1,164.0,,
production_autonomy,45.0,119.0,164.0,11869.298566,0.0,63950.7465,0.255801,4561.948693,0.45792,0,164.0,,
full_production_autonomy,45.0,119.0,164.0,11869.298566,0.0,63950.7465,0.255801,4561.948693,0.45792,0,164.0,,
basic_autonomy,45.0,124.0,169.0,11951.779012,0.0,68898.267,0.269039,4603.105605,0.461103,1,169.0,,
production_autonomy,45.0,124.0,169.0,11951.779012,0.0,68898.267,0.269039,4603.105605,0.461103,0,169.0,,
full_production_autonomy,45.0,124.0,169.0,11951.779012,0.0,68898.267,0.269039,4603.105605,0.461103,0,169.0,,
basic_autonomy,45.0,129.0,174.0,12032.403614,0.0,73871.46,0.28176,4644.15737,0.464213,1,174.0,,
production_autonomy,45.0,129.0,174.0,12032.403614,0.0,73871.46,0.28176,4644.15737,0.464213,0,174.0,,
full_production_autonomy,45.0,129.0,174.0,12032.403614,0.0,73871.46,0.28176,4644.15737,0.464213,0,174.0,,
basic_autonomy,45.0,134.0,179.0,12109.130458,0.0,78898.572,0.294104,4685.633781,0.467173,1,179.0,,
production_autonomy,45.0,134.0,179.0,12109.130458,0.0,78898.572,0.294104,4685.633781,0.467173,0,179.0,,
full_production_autonomy,45.0,134.0,179.0,12109.130458,0.0,78898.572,0.294104,4685.633781,0.467173,0,179.0,,
basic_autonomy,45.0,139.0,184.0,12183.632133,0.0,83956.4655,0.306013,4727.146557,0.470048,1,184.0,,
production_autonomy,45.0,139.0,184.0,12183.632133,0.0,83956.4655,0.306013,4727.146557,0.470048,0,184.0,,
full_production_autonomy,45.0,139.0,184.0,12183.632133,0.0,83956.4655,0.306013,4727.146557,0.470048,0,184.0,,
basic_autonomy,45.0,144.0,189.0,12256.296289,0.0,89039.778,0.317495,4768.619565,0.472851,1,189.0,,
production_autonomy,45.0,144.0,189.0,12256.296289,0.0,89039.778,0.317495,4768.619565,0.472851,0,189.0,,
full_production_autonomy,45.0,144.0,189.0,12256.296289,0.0,89039.778,0.317495,4768.619565,0.472851,0,189.0,,
basic_autonomy,45.0,149.0,194.0,12324.719711,0.0,94181.754,0.328694,4810.684797,0.475491,1,194.0,,
