scenario_id,target_NH3_t_per_day,on_hours,on_hour_list,E_wind_MWh,E_pv_MWh,E_re_MWh,E_buy_MWh,E_sell_MWh,E_self_MWh,E_total_MWh,E_use_MWh,E_load_MWh,E_alk_MWh,E_pem_MWh,E_nh3_MWh,self_use_ratio,green_ratio,green_internal_use_ratio,sell_ratio,daily_cost_yuan,daily_nh3_fixed_capex_yuan,daily_sell_revenue_yuan,daily_net_cost_yuan,unit_cost_yuan_per_t,device_utilization,indicator_class
W2_P1,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,149.464,509.44,658.904,487.428,89.612,569.292,1146.332,1056.72,60.72,480.0,480.0,36.0,0.863998,0.496621,0.538735,0.136002,454097.348533,3333.333333,33864.3748,420232.973733,5836.56908,1.0,all_satisfied
W2_P1,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23,149.464,509.44,658.904,380.7502,107.4342,551.4698,1039.6542,932.22,60.72,420.0,420.0,31.5,0.83695,0.530436,0.591566,0.16305,353490.081813,3333.333333,40599.38418,312890.697633,4966.51901,0.875,all_satisfied
W2_P1,54.0,18,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 23,149.464,509.44,658.904,284.6024,135.7864,523.1176,943.5064,807.72,60.72,360.0,360.0,27.0,0.793921,0.55444,0.647647,0.206079,280080.908093,3333.333333,51313.68056,228767.227533,4236.43014,0.75,partly_satisfied
W2_P1,45.0,15,0 1 2 3 4 5 6 9 10 11 12 13 14 15 23,149.464,509.44,658.904,263.2564,238.9404,419.9636,922.1604,683.22,60.72,300.0,300.0,22.5,0.637367,0.455413,0.614683,0.362633,252106.347693,3333.333333,90295.57716,161810.770533,3595.794901,0.625,partly_satisfied
W2_P1,36.0,12,0 1 2 3 4 5 6 9 10 11 14 23,149.464,509.44,658.904,263.2564,363.4404,295.4636,922.1604,558.72,60.72,240.0,240.0,18.0,0.448417,0.320404,0.528822,0.551583,237097.347693,3333.333333,137344.12716,99753.220533,2770.922793,0.5,partly_satisfied
W2_P2,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,149.464,250.88,400.344,656.376,0.0,400.344,1056.72,1056.72,60.72,480.0,480.0,36.0,1.0,0.378855,0.378855,0.0,530380.364733,3333.333333,0.0,530380.364733,7366.393955,1.0,all_satisfied
W2_P2,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23,149.464,250.88,400.344,541.3782,9.5022,390.8418,941.7222,932.22,60.72,420.0,420.0,31.5,0.976265,0.415029,0.419259,0.023735,423097.130013,3333.333333,3590.88138,419506.248633,6658.829343,0.875,all_satisfied
W2_P2,54.0,18,0 1 2 3 4 5 6 8 9 10 11 12 13 14 15 16 17 23,149.464,250.88,400.344,424.912,17.536,382.808,825.256,807.72,60.72,360.0,360.0,27.0,0.956198,0.463866,0.473937,0.043802,337346.560133,3333.333333,6626.8544,330719.705733,6124.438995,0.75,all_satisfied
W2_P2,45.0,15,0 1 2 3 4 5 6 9 11 12 13 14 15 16 23,149.464,250.88,400.344,351.2742,68.3982,331.9458,751.6182,683.22,60.72,300.0,300.0,22.5,0.829151,0.441642,0.485855,0.170849,274621.741413,3333.333333,25847.67978,248774.061633,5528.312481,0.625,all_satisfied
W2_P2,36.0,12,0 1 2 3 4 5 6 12 13 14 15 23,149.464,250.88,400.344,298.4522,140.0762,260.2678,698.7962,558.72,60.72,240.0,240.0,18.0,0.65011,0.372452,0.465829,0.34989,225627.798613,3333.333333,52934.79598,172693.002633,4797.027851,0.5,partly_satisfied
W2_P3,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,149.464,85.12,234.584,822.136,0.0,234.584,1056.72,1056.72,60.72,480.0,480.0,36.0,1.0,0.221993,0.221993,0.0,631514.188733,3333.333333,0.0,631514.188733,8771.030399,1.0,partly_satisfied
W2_P3,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23,149.464,85.12,234.584,705.2182,7.5822,227.0018,939.8022,932.22,60.72,420.0,420.0,31.5,0.967678,0.241542,0.243507,0.032322,522690.346013,3333.333333,2865.31338,519825.032633,8251.190994,0.875,partly_satisfied
W2_P3,54.0,18,0 1 2 3 4 5 6 7 8 9 13 14 15 16 17 21 22 23,149.464,85.12,234.584,616.5142,43.3782,191.2058,851.0982,807.72,60.72,360.0,360.0,27.0,0.815085,0.224658,0.236723,0.184915,436505.256413,3333.333333,16392.62178,420112.634633,7779.863604,0.75,partly_satisfied
W2_P3,45.0,15,0 1 2 3 4 5 6 7 8 9 15 16 17 22 23,149.464,85.12,234.584,526.4464,77.8104,156.7736,761.0304,683.22,60.72,300.0,300.0,22.5,0.668305,0.206002,0.229463,0.331695,357318.353693,3333.333333,29404.55016,327913.803533,7286.973412,0.625,partly_satisfied
W2_P3,36.0,12,0 1 2 3 4 5 6 9 15 16 17 23,149.464,85.12,234.584,411.9984,87.8624,146.7216,646.5824,558.72,60.72,240.0,240.0,18.0,0.625454,0.226919,0.262603,0.374546,272793.638493,3333.333333,33203.20096,239590.437533,6655.289931,0.5,partly_satisfied
W2_P4,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,149.464,20.48,169.944,886.776,0.0,169.944,1056.72,1056.72,60.72,480.0,480.0,36.0,1.0,0.160822,0.160822,0.0,671006.924733,3333.333333,0.0,671006.924733,9319.540621,1.0,partly_satisfied
W2_P4,63.0,21,0 1 2 3 4 5 6 7 8 9 12 13 14 15 16 17 18 19 21 22 23,149.464,20.48,169.944,765.6318,3.3558,166.5882,935.5758,932.22,60.72,420.0,420.0,31.5,0.980253,0.17806,0.178701,0.019747,558791.818653,3333.333333,1268.15682,557523.661833,8849.581934,0.875,partly_satisfied
W2_P4,54.0,18,0 1 2 3 4 5 6 7 8 9 13 14 15 16 17 21 22 23,149.464,20.48,169.944,652.9942,15.2182,154.7258,822.9382,807.72,60.72,360.0,360.0,27.0,0.910452,0.188016,0.191559,0.089548,453402.408413,3333.333333,5750.95778,447651.450633,8289.841678,0.75,partly_satisfied
W2_P4,45.0,15,0 1 2 3 4 5 6 7 8 9 15 16 17 22 23,149.464,20.48,169.944,550.1264,36.8504,133.0936,720.0704,683.22,60.72,300.0,300.0,22.5,0.783162,0.184834,0.194803,0.216838,363944.785693,3333.333333,13925.76616,350019.019533,7778.200434,0.625,partly_satisfied
W2_P4,36.0,12,0 1 2 3 4 5 6 7 15 16 17 23,149.464,20.48,169.944,427.5886,38.8126,131.1314,597.5326,558.72,60.72,240.0,240.0,18.0,0.771615,0.219455,0.2347,0.228385,274506.325973,3333.333333,14667.28154,259839.044433,7217.751234,0.5,partly_satisfied
W3_P1,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,271.4,509.44,780.84,402.2482,126.3682,654.4718,1183.0882,1056.72,60.72,480.0,480.0,36.0,0.838164,0.553189,0.619343,0.161836,428128.238013,3333.333333,47754.54278,380373.695233,5282.967989,1.0,all_satisfied
W3_P1,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23,271.4,509.44,780.84,311.2944,159.9144,620.9256,1092.1344,932.22,60.72,420.0,420.0,31.5,0.795202,0.568543,0.666072,0.204798,340137.908893,3333.333333,60431.65176,279706.257133,4439.781859,0.875,partly_satisfied
W3_P1,54.0,18,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 23,271.4,509.44,780.84,229.8364,202.9564,577.8836,1010.6764,807.72,60.72,360.0,360.0,27.0,0.740079,0.571779,0.71545,0.259921,275651.319693,3333.333333,76697.22356,198954.096133,3684.335114,0.75,partly_satisfied
W3_P1,45.0,15,0 1 2 3 4 5 6 8 9 10 12 13 14 16 23,271.4,509.44,780.84,223.3262,320.9462,459.8938,1004.1662,683.22,60.72,300.0,300.0,22.5,0.588973,0.457986,0.673127,0.411027,256688.024213,3333.333333,121285.56898,135402.455233,3008.94345,0.625,partly_satisfied
W3_P1,36.0,12,0 1 2 3 4 5 6 8 13 14 16 23,271.4,509.44,780.84,223.3262,445.4462,335.3938,1004.1662,558.72,60.72,240.0,240.0,18.0,0.429529,0.334002,0.60029,0.570471,241679.024213,3333.333333,168334.11898,73344.905233,2037.358479,0.5,partly_satisfied
W3_P2,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,271.4,250.88,522.28,538.1664,3.7264,518.5536,1060.4464,1056.72,60.72,480.0,480.0,36.0,0.992865,0.488996,0.49072,0.007135,481277.781693,3333.333333,1408.20656,479869.575133,6664.85521,1.0,all_satisfied
W3_P2,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23,271.4,250.88,522.28,438.8926,28.9526,493.3274,961.1726,932.22,60.72,420.0,420.0,31.5,0.944565,0.513256,0.529196,0.055435,386611.484573,3333.333333,10941.18754,375670.297033,5963.020588,0.875,all_satisfied
W3_P2,54.0,18,0 1 2 3 4 5 6 8 9 10 11 12 13 14 15 16 17 23,271.4,250.88,522.28,336.4962,51.0562,471.2238,858.7762,807.72,60.72,360.0,360.0,27.0,0.902244,0.548715,0.5834,0.097756,309406.911213,3333.333333,19294.13798,290112.773233,5372.458764,0.75,all_satisfied
W3_P2,45.0,15,0 1 2 3 4 5 6 9 11 12 13 14 15 16 23,271.4,250.88,522.28,278.0304,117.0904,405.1896,800.3104,683.22,60.72,300.0,300.0,22.5,0.775809,0.506291,0.593059,0.224191,256573.825293,3333.333333,44248.46216,212325.363133,4718.341403,0.625,partly_satisfied
W3_P2,36.0,12,0 1 2 3 4 5 6 12 13 14 15 23,271.4,250.88,522.28,245.1004,208.6604,313.6196,767.3804,558.72,60.72,240.0,240.0,18.0,0.600482,0.408689,0.561318,0.399518,220638.843293,3333.333333,78852.76516,141786.078133,3938.50217,0.5,partly_satisfied
W3_P3,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,271.4,85.12,356.52,700.2,0.0,356.52,1056.72,1056.72,60.72,480.0,480.0,36.0,1.0,0.337384,0.337384,0.0,579421.542333,3333.333333,0.0,579421.542333,8047.521421,1.0,all_satisfied
W3_P3,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23,271.4,85.12,356.52,599.0062,23.3062,333.2138,955.5262,932.22,60.72,420.0,420.0,31.5,0.934629,0.348723,0.357441,0.065371,483214.637213,3333.333333,8807.41298,474407.224233,7530.273401,0.875,all_satisfied
W3_P3,54.0,18,0 1 2 3 4 5 6 7 8 9 12 13 15 16 17 21 22 23,271.4,85.12,356.52,522.284,71.084,285.436,878.804,807.72,60.72,360.0,360.0,27.0,0.800617,0.324801,0.353385,0.199383,406643.743933,3333.333333,26862.6436,379781.100333,7032.98334,0.75,all_satisfied
W3_P3,45.0,15,0 1 2 3 4 5 6 7 8 9 13 15 16 17 23,271.4,85.12,356.52,427.13,100.43,256.09,783.65,683.22,60.72,300.0,300.0,22.5,0.718305,0.326791,0.374828,0.281695,329612.983333,3333.333333,37952.497,291660.486333,6481.344141,0.625,partly_satisfied
W3_P3,36.0,12,0 1 2 3 4 5 6 9 15 16 17 23,271.4,85.12,356.52,345.2962,143.0962,213.4238,701.8162,558.72,60.72,240.0,240.0,18.0,0.598631,0.304102,0.381987,0.401369,261114.002213,3333.333333,54076.05398,207037.948233,5751.054118,0.5,partly_satisfied
W3_P4,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,271.4,20.48,291.88,764.84,0.0,291.88,1056.72,1056.72,60.72,480.0,480.0,36.0,1.0,0.276213,0.276213,0.0,618914.278333,3333.333333,0.0,618914.278333,8596.031644,1.0,partly_satisfied
W3_P4,63.0,21,0 1 2 3 4 5 6 7 8 9 12 13 14 15 16 17 18 19 21 22 23,271.4,20.48,291.88,657.0718,16.7318,275.1482,948.9518,932.22,60.72,420.0,420.0,31.5,0.942676,0.28995,0.295154,0.057324,517432.074653,3333.333333,6322.94722,511109.127433,8112.843293,0.875,partly_satisfied
W3_P4,54.0,18,0 1 2 3 4 5 6 7 8 9 13 14 15 16 17 21 22 23,271.4,20.48,291.88,560.1022,44.2622,247.6178,851.9822,807.72,60.72,360.0,360.0,27.0,0.848355,0.290637,0.306564,0.151645,424614.667613,3333.333333,16726.68538,407887.982233,7553.481152,0.75,partly_satisfied
W3_P4,45.0,15,0 1 2 3 4 5 6 7 8 9 15 16 17 22 23,271.4,20.48,291.88,468.0122,76.6722,215.2078,759.8922,683.22,60.72,300.0,300.0,22.5,0.737316,0.283208,0.31499,0.262684,342903.900613,3333.333333,28974.42438,313929.476233,6976.210583,0.625,partly_satisfied
W3_P4,36.0,12,0 1 2 3 4 5 6 7 15 16 17 23,271.4,20.48,291.88,362.8224,95.9824,195.8976,654.7024,558.72,60.72,240.0,240.0,18.0,0.671158,0.299216,0.350619,0.328842,264002.616093,3333.333333,36271.74896,227730.867133,6325.85742,0.5,partly_satisfied
W4_P1,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,367.484,509.44,876.924,353.502,173.706,703.218,1230.426,1056.72,60.72,480.0,480.0,36.0,0.801914,0.571524,0.665472,0.198086,421078.456133,3333.333333,65643.4974,355434.958733,4936.596649,1.0,all_satisfied
W4_P1,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 22 23,367.484,509.44,876.924,246.832,191.536,685.388,1123.756,932.22,60.72,420.0,420.0,31.5,0.781582,0.609908,0.735221,0.218418,327870.717133,3333.333333,72381.4544,255489.262733,4055.385123,0.875,partly_satisfied
W4_P1,54.0,18,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 23,367.484,509.44,876.924,188.9542,258.1582,618.7658,1065.8782,807.72,60.72,360.0,360.0,27.0,0.705609,0.580522,0.766065,0.294391,274340.651413,3333.333333,97557.98378,176782.667633,3273.753104,0.75,partly_satisfied
W4_P1,45.0,15,0 1 2 3 4 5 6 7 8 11 12 13 14 15 23,367.484,509.44,876.924,188.9542,382.6582,494.2658,1065.8782,683.22,60.72,300.0,300.0,22.5,0.563636,0.463717,0.723436,0.436364,259331.651413,3333.333333,144606.53378,114725.117633,2549.447059,0.625,partly_satisfied
W4_P1,36.0,12,0 1 2 3 4 5 6 11 12 13 14 23,367.484,509.44,876.924,188.9542,507.1582,369.7658,1065.8782,558.72,60.72,240.0,240.0,18.0,0.421662,0.346912,0.661809,0.578338,244322.651413,3333.333333,191655.08378,52667.567633,1462.98799,0.5,partly_satisfied
W4_P2,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,367.484,250.88,618.364,448.0962,9.7402,608.6238,1066.4602,1056.72,60.72,480.0,480.0,36.0,0.984248,0.570695,0.575956,0.015752,448919.152213,3333.333333,3680.82158,445238.330633,6183.865703,1.0,all_satisfied
W4_P2,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23,367.484,250.88,618.364,353.7584,39.9024,578.4616,972.1224,932.22,60.72,420.0,420.0,31.5,0.935471,0.59505,0.62052,0.064529,358213.501493,3333.333333,15079.11696,343134.384533,5446.577532,0.875,all_satisfied
W4_P2,54.0,18,0 1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 23,367.484,250.88,618.364,267.272,77.916,540.448,885.636,807.72,60.72,360.0,360.0,27.0,0.873997,0.610237,0.669103,0.126003,288398.143133,3333.333333,29444.4564,258953.686733,4795.438643,0.75,all_satisfied
W4_P2,45.0,15,0 1 2 3 4 5 6 8 9 12 13 14 15 16 23,367.484,250.88,618.364,227.146,162.29,456.074,845.51,683.22,60.72,300.0,300.0,22.5,0.737549,0.539407,0.667536,0.262451,247770.950733,3333.333333,61329.391,186441.559733,4143.145772,0.625,partly_satisfied
W4_P2,36.0,12,0 1 2 3 4 5 6 12 13 14 15 23,367.484,250.88,618.364,203.0342,262.6782,355.6858,821.3982,558.72,60.72,240.0,240.0,18.0,0.575205,0.433025,0.636608,0.424795,218116.443413,3333.333333,99266.09178,118850.351633,3301.398656,0.5,partly_satisfied
W4_P3,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,367.484,85.12,452.604,604.116,0.0,452.604,1056.72,1056.72,60.72,480.0,480.0,36.0,1.0,0.42831,0.42831,0.0,542615.700733,3333.333333,0.0,542615.700733,7536.329177,1.0,all_satisfied
W4_P3,63.0,21,0 1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 21 22 23,367.484,85.12,452.604,506.416,26.8,425.804,959.02,932.22,60.72,420.0,420.0,31.5,0.940787,0.443999,0.456763,0.059213,449212.220733,3333.333333,10127.72,439084.500733,6969.59525,0.875,all_satisfied
W4_P3,54.0,18,0 1 2 3 4 5 6 7 8 9 12 13 14 15 16 17 22 23,367.484,85.12,452.604,414.7718,59.6558,392.9482,867.3758,807.72,60.72,360.0,360.0,27.0,0.868194,0.453031,0.486491,0.131806,368061.183653,3333.333333,22543.92682,345517.256833,6398.467719,0.75,all_satisfied
W4_P3,45.0,15,0 1 2 3 4 5 6 7 8 9 14 15 16 17 23,367.484,85.12,452.604,338.8422,108.2262,344.3778,791.4462,683.22,60.72,300.0,300.0,22.5,0.760881,0.435125,0.504051,0.239119,299323.332613,3333.333333,40898.68098,258424.651633,5742.770036,0.625,partly_satisfied
W4_P3,36.0,12,0 1 2 3 4 5 6 7 8 9 15 23,367.484,85.12,452.604,272.5864,166.4704,286.1336,725.1904,558.72,60.72,240.0,240.0,18.0,0.632194,0.394563,0.512123,0.367806,240471.249693,3333.333333,62909.16416,177562.085533,4932.280154,0.5,partly_satisfied
W4_P4,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,367.484,20.48,387.964,668.756,0.0,387.964,1056.72,1056.72,60.72,480.0,480.0,36.0,1.0,0.36714,0.36714,0.0,582108.436733,3333.333333,0.0,582108.436733,8084.839399,1.0,all_satisfied
W4_P4,63.0,21,0 1 2 3 4 5 6 7 8 9 12 13 14 15 16 17 18 19 21 22 23,367.484,20.48,387.964,561.1118,16.8558,371.1082,949.0758,932.22,60.72,420.0,420.0,31.5,0.956553,0.391021,0.398091,0.043447,480725.730653,3333.333333,6369.80682,474355.923833,7529.459108,0.875,all_satisfied
W4_P4,54.0,18,0 1 2 3 4 5 6 7 8 9 13 14 15 16 17 21 22 23,367.484,20.48,387.964,469.3022,49.5462,338.4178,857.2662,807.72,60.72,360.0,360.0,27.0,0.872292,0.394764,0.418979,0.127708,392048.707613,3333.333333,18723.50898,373325.198633,6913.429604,0.75,all_satisfied
W4_P4,45.0,15,0 1 2 3 4 5 6 7 8 9 15 16 17 22 23,367.484,20.48,387.964,380.9722,85.7162,302.2478,768.9362,683.22,60.72,300.0,300.0,22.5,0.779061,0.393073,0.442387,0.220939,313556.984613,3333.333333,32392.15198,281164.832633,6248.107392,0.625,partly_satisfied
W4_P4,36.0,12,0 1 2 3 4 5 6 7 8 9 15 23,367.484,20.48,387.964,287.9464,117.1904,270.7736,675.9104,558.72,60.72,240.0,240.0,18.0,0.697935,0.400606,0.484632,0.302065,242044.113693,3333.333333,44286.25216,197757.861533,5493.273931,0.5,partly_satisfied
W5_P1,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,309.98,509.44,819.42,395.9442,158.6442,660.7758,1215.3642,1056.72,60.72,480.0,480.0,36.0,0.806395,0.543685,0.625308,0.193605,432827.208413,3333.333333,59951.64318,372875.565233,5178.827295,1.0,all_satisfied
W5_P1,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23,309.98,509.44,819.42,305.3064,192.5064,626.9136,1124.7264,932.22,60.72,420.0,420.0,31.5,0.76507,0.557392,0.672495,0.23493,345090.437693,3333.333333,72748.16856,272342.269133,4322.893161,0.875,partly_satisfied
W5_P1,54.0,18,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 23,309.98,509.44,819.42,222.3924,234.0924,585.3276,1041.8124,807.72,60.72,360.0,360.0,27.0,0.714319,0.561836,0.724666,0.285681,279719.474093,3333.333333,88463.51796,191255.956133,3541.776965,0.75,partly_satisfied
