scenario_id,target_NH3_t_per_day,on_hours,on_hour_list,E_wind_MWh,E_pv_MWh,E_re_MWh,E_buy_MWh,E_sell_MWh,E_self_MWh,E_total_MWh,E_use_MWh,E_load_MWh,E_alk_MWh,E_pem_MWh,E_nh3_MWh,self_use_ratio,green_ratio,green_internal_use_ratio,sell_ratio,daily_cost_yuan,daily_sell_revenue_yuan,daily_net_cost_yuan,unit_cost_yuan_per_t,device_utilization,indicator_class
W1_P4,45.0,15,0 1 2 3 4 5 6 7 8 9 15 16 17 22 23,252.324,20.48,272.804,472.8282,62.4122,210.3918,745.6322,683.22,60.72,300.0,300.0,22.5,0.77122,0.282166,0.307942,0.22878,337015.14568,23585.57038,313429.5753,6965.101673,0.625,partly_satisfied
W1_P4,36.0,12,0 1 2 3 4 5 6 7 8 9 15 23,252.324,20.48,272.804,361.2504,75.3344,197.4696,634.0544,558.72,60.72,240.0,240.0,18.0,0.723852,0.31144,0.353432,0.276148,254233.78996,28468.86976,225764.9202,6271.247783,0.5,partly_satisfied
W2_P1,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,149.464,509.44,658.904,487.428,89.612,569.292,1146.332,1056.72,60.72,480.0,480.0,36.0,0.863998,0.496621,0.538735,0.136002,450764.0152,33864.3748,416899.6404,5790.272783,1.0,all_satisfied
W2_P1,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23,149.464,509.44,658.904,380.7502,107.4342,551.4698,1039.6542,932.22,60.72,420.0,420.0,31.5,0.83695,0.530436,0.591566,0.16305,350156.74848,40599.38418,309557.3643,4913.608957,0.875,all_satisfied
W2_P1,54.0,18,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 23,149.464,509.44,658.904,284.6024,135.7864,523.1176,943.5064,807.72,60.72,360.0,360.0,27.0,0.793921,0.55444,0.647647,0.206079,276747.57476,51313.68056,225433.8942,4174.701744,0.75,partly_satisfied
W2_P1,45.0,15,0 1 2 3 4 5 6 9 10 11 12 13 14 15 23,149.464,509.44,658.904,263.2564,238.9404,419.9636,922.1604,683.22,60.72,300.0,300.0,22.5,0.637367,0.455413,0.614683,0.362633,248773.01436,90295.57716,158477.4372,3521.720827,0.625,partly_satisfied
W2_P1,36.0,12,0 1 2 3 4 5 6 9 10 11 14 23,149.464,509.44,658.904,263.2564,363.4404,295.4636,922.1604,558.72,60.72,240.0,240.0,18.0,0.448417,0.320404,0.528822,0.551583,233764.01436,137344.12716,96419.8872,2678.3302,0.5,partly_satisfied
W2_P2,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,149.464,250.88,400.344,656.376,0.0,400.344,1056.72,1056.72,60.72,480.0,480.0,36.0,1.0,0.378855,0.378855,0.0,527047.0314,0.0,527047.0314,7320.097658,1.0,all_satisfied
W2_P2,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23,149.464,250.88,400.344,541.3782,9.5022,390.8418,941.7222,932.22,60.72,420.0,420.0,31.5,0.976265,0.415029,0.419259,0.023735,419763.79668,3590.88138,416172.9153,6605.91929,0.875,all_satisfied
W2_P2,54.0,18,0 1 2 3 4 5 6 8 9 10 11 12 13 14 15 16 17 23,149.464,250.88,400.344,424.912,17.536,382.808,825.256,807.72,60.72,360.0,360.0,27.0,0.956198,0.463866,0.473937,0.043802,334013.2268,6626.8544,327386.3724,6062.7106,0.75,all_satisfied
W2_P2,45.0,15,0 1 2 3 4 5 6 9 11 12 13 14 15 16 23,149.464,250.88,400.344,351.2742,68.3982,331.9458,751.6182,683.22,60.72,300.0,300.0,22.5,0.829151,0.441642,0.485855,0.170849,271288.40808,25847.67978,245440.7283,5454.238407,0.625,all_satisfied
W2_P2,36.0,12,0 1 2 3 4 5 6 12 13 14 15 23,149.464,250.88,400.344,298.4522,140.0762,260.2678,698.7962,558.72,60.72,240.0,240.0,18.0,0.65011,0.372452,0.465829,0.34989,222294.46528,52934.79598,169359.6693,4704.435258,0.5,partly_satisfied
W2_P3,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,149.464,85.12,234.584,822.136,0.0,234.584,1056.72,1056.72,60.72,480.0,480.0,36.0,1.0,0.221993,0.221993,0.0,628180.8554,0.0,628180.8554,8724.734103,1.0,partly_satisfied
W2_P3,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23,149.464,85.12,234.584,705.2182,7.5822,227.0018,939.8022,932.22,60.72,420.0,420.0,31.5,0.967678,0.241542,0.243507,0.032322,519357.01268,2865.31338,516491.6993,8198.280941,0.875,partly_satisfied
W2_P3,54.0,18,0 1 2 3 4 5 6 7 8 9 13 14 15 16 17 21 22 23,149.464,85.12,234.584,616.5142,43.3782,191.2058,851.0982,807.72,60.72,360.0,360.0,27.0,0.815085,0.224658,0.236723,0.184915,433171.92308,16392.62178,416779.3013,7718.135209,0.75,partly_satisfied
W2_P3,45.0,15,0 1 2 3 4 5 6 7 8 9 15 16 17 22 23,149.464,85.12,234.584,526.4464,77.8104,156.7736,761.0304,683.22,60.72,300.0,300.0,22.5,0.668305,0.206002,0.229463,0.331695,353985.02036,29404.55016,324580.4702,7212.899338,0.625,partly_satisfied
W2_P3,36.0,12,0 1 2 3 4 5 6 9 15 16 17 23,149.464,85.12,234.584,411.9984,87.8624,146.7216,646.5824,558.72,60.72,240.0,240.0,18.0,0.625454,0.226919,0.262603,0.374546,269460.30516,33203.20096,236257.1042,6562.697339,0.5,partly_satisfied
W2_P4,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,149.464,20.48,169.944,886.776,0.0,169.944,1056.72,1056.72,60.72,480.0,480.0,36.0,1.0,0.160822,0.160822,0.0,667673.5914,0.0,667673.5914,9273.244325,1.0,partly_satisfied
W2_P4,63.0,21,0 1 2 3 4 5 6 7 8 9 12 13 14 15 16 17 18 19 21 22 23,149.464,20.48,169.944,765.6318,3.3558,166.5882,935.5758,932.22,60.72,420.0,420.0,31.5,0.980253,0.17806,0.178701,0.019747,555458.48532,1268.15682,554190.3285,8796.671881,0.875,partly_satisfied
W2_P4,54.0,18,0 1 2 3 4 5 6 7 8 9 13 14 15 16 17 21 22 23,149.464,20.48,169.944,652.9942,15.2182,154.7258,822.9382,807.72,60.72,360.0,360.0,27.0,0.910452,0.188016,0.191559,0.089548,450069.07508,5750.95778,444318.1173,8228.113283,0.75,partly_satisfied
W2_P4,45.0,15,0 1 2 3 4 5 6 7 8 9 15 16 17 22 23,149.464,20.48,169.944,550.1264,36.8504,133.0936,720.0704,683.22,60.72,300.0,300.0,22.5,0.783162,0.184834,0.194803,0.216838,360611.45236,13925.76616,346685.6862,7704.12636,0.625,partly_satisfied
W2_P4,36.0,12,0 1 2 3 4 5 6 7 15 16 17 23,149.464,20.48,169.944,427.5886,38.8126,131.1314,597.5326,558.72,60.72,240.0,240.0,18.0,0.771615,0.219455,0.2347,0.228385,271172.99264,14667.28154,256505.7111,7125.158642,0.5,partly_satisfied
W3_P1,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,271.4,509.44,780.84,402.2482,126.3682,654.4718,1183.0882,1056.72,60.72,480.0,480.0,36.0,0.838164,0.553189,0.619343,0.161836,424794.90468,47754.54278,377040.3619,5236.671693,1.0,all_satisfied
W3_P1,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23,271.4,509.44,780.84,311.2944,159.9144,620.9256,1092.1344,932.22,60.72,420.0,420.0,31.5,0.795202,0.568543,0.666072,0.204798,336804.57556,60431.65176,276372.9238,4386.871806,0.875,partly_satisfied
W3_P1,54.0,18,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 23,271.4,509.44,780.84,229.8364,202.9564,577.8836,1010.6764,807.72,60.72,360.0,360.0,27.0,0.740079,0.571779,0.71545,0.259921,272317.98636,76697.22356,195620.7628,3622.606719,0.75,partly_satisfied
W3_P1,45.0,15,0 1 2 3 4 5 6 8 9 10 12 13 14 16 23,271.4,509.44,780.84,223.3262,320.9462,459.8938,1004.1662,683.22,60.72,300.0,300.0,22.5,0.588973,0.457986,0.673127,0.411027,253354.69088,121285.56898,132069.1219,2934.869376,0.625,partly_satisfied
W3_P1,36.0,12,0 1 2 3 4 5 6 8 13 14 16 23,271.4,509.44,780.84,223.3262,445.4462,335.3938,1004.1662,558.72,60.72,240.0,240.0,18.0,0.429529,0.334002,0.60029,0.570471,238345.69088,168334.11898,70011.5719,1944.765886,0.5,partly_satisfied
W3_P2,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,271.4,250.88,522.28,538.1664,3.7264,518.5536,1060.4464,1056.72,60.72,480.0,480.0,36.0,0.992865,0.488996,0.49072,0.007135,477944.44836,1408.20656,476536.2418,6618.558914,1.0,all_satisfied
W3_P2,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23,271.4,250.88,522.28,438.8926,28.9526,493.3274,961.1726,932.22,60.72,420.0,420.0,31.5,0.944565,0.513256,0.529196,0.055435,383278.15124,10941.18754,372336.9637,5910.110535,0.875,all_satisfied
W3_P2,54.0,18,0 1 2 3 4 5 6 8 9 10 11 12 13 14 15 16 17 23,271.4,250.88,522.28,336.4962,51.0562,471.2238,858.7762,807.72,60.72,360.0,360.0,27.0,0.902244,0.548715,0.5834,0.097756,306073.57788,19294.13798,286779.4399,5310.730369,0.75,all_satisfied
W3_P2,45.0,15,0 1 2 3 4 5 6 9 11 12 13 14 15 16 23,271.4,250.88,522.28,278.0304,117.0904,405.1896,800.3104,683.22,60.72,300.0,300.0,22.5,0.775809,0.506291,0.593059,0.224191,253240.49196,44248.46216,208992.0298,4644.267329,0.625,partly_satisfied
W3_P2,36.0,12,0 1 2 3 4 5 6 12 13 14 15 23,271.4,250.88,522.28,245.1004,208.6604,313.6196,767.3804,558.72,60.72,240.0,240.0,18.0,0.600482,0.408689,0.561318,0.399518,217305.50996,78852.76516,138452.7448,3845.909578,0.5,partly_satisfied
W3_P3,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,271.4,85.12,356.52,700.2,0.0,356.52,1056.72,1056.72,60.72,480.0,480.0,36.0,1.0,0.337384,0.337384,0.0,576088.209,0.0,576088.209,8001.225125,1.0,all_satisfied
W3_P3,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23,271.4,85.12,356.52,599.0062,23.3062,333.2138,955.5262,932.22,60.72,420.0,420.0,31.5,0.934629,0.348723,0.357441,0.065371,479881.30388,8807.41298,471073.8909,7477.363348,0.875,all_satisfied
W3_P3,54.0,18,0 1 2 3 4 5 6 7 8 9 12 13 15 16 17 21 22 23,271.4,85.12,356.52,522.284,71.084,285.436,878.804,807.72,60.72,360.0,360.0,27.0,0.800617,0.324801,0.353385,0.199383,403310.4106,26862.6436,376447.767,6971.254944,0.75,all_satisfied
W3_P3,45.0,15,0 1 2 3 4 5 6 7 8 9 13 15 16 17 23,271.4,85.12,356.52,427.13,100.43,256.09,783.65,683.22,60.72,300.0,300.0,22.5,0.718305,0.326791,0.374828,0.281695,326279.65,37952.497,288327.153,6407.270067,0.625,partly_satisfied
W3_P3,36.0,12,0 1 2 3 4 5 6 9 15 16 17 23,271.4,85.12,356.52,345.2962,143.0962,213.4238,701.8162,558.72,60.72,240.0,240.0,18.0,0.598631,0.304102,0.381987,0.401369,257780.66888,54076.05398,203704.6149,5658.461525,0.5,partly_satisfied
W3_P4,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,271.4,20.48,291.88,764.84,0.0,291.88,1056.72,1056.72,60.72,480.0,480.0,36.0,1.0,0.276213,0.276213,0.0,615580.945,0.0,615580.945,8549.735347,1.0,partly_satisfied
W3_P4,63.0,21,0 1 2 3 4 5 6 7 8 9 12 13 14 15 16 17 18 19 21 22 23,271.4,20.48,291.88,657.0718,16.7318,275.1482,948.9518,932.22,60.72,420.0,420.0,31.5,0.942676,0.28995,0.295154,0.057324,514098.74132,6322.94722,507775.7941,8059.93324,0.875,partly_satisfied
W3_P4,54.0,18,0 1 2 3 4 5 6 7 8 9 13 14 15 16 17 21 22 23,271.4,20.48,291.88,560.1022,44.2622,247.6178,851.9822,807.72,60.72,360.0,360.0,27.0,0.848355,0.290637,0.306564,0.151645,421281.33428,16726.68538,404554.6489,7491.752757,0.75,partly_satisfied
W3_P4,45.0,15,0 1 2 3 4 5 6 7 8 9 15 16 17 22 23,271.4,20.48,291.88,468.0122,76.6722,215.2078,759.8922,683.22,60.72,300.0,300.0,22.5,0.737316,0.283208,0.31499,0.262684,339570.56728,28974.42438,310596.1429,6902.136509,0.625,partly_satisfied
W3_P4,36.0,12,0 1 2 3 4 5 6 7 15 16 17 23,271.4,20.48,291.88,362.8224,95.9824,195.8976,654.7024,558.72,60.72,240.0,240.0,18.0,0.671158,0.299216,0.350619,0.328842,260669.28276,36271.74896,224397.5338,6233.264828,0.5,partly_satisfied
W4_P1,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,367.484,509.44,876.924,353.502,173.706,703.218,1230.426,1056.72,60.72,480.0,480.0,36.0,0.801914,0.571524,0.665472,0.198086,417745.1228,65643.4974,352101.6254,4890.300353,1.0,all_satisfied
W4_P1,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 22 23,367.484,509.44,876.924,246.832,191.536,685.388,1123.756,932.22,60.72,420.0,420.0,31.5,0.781582,0.609908,0.735221,0.218418,324537.3838,72381.4544,252155.9294,4002.47507,0.875,partly_satisfied
W4_P1,54.0,18,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 23,367.484,509.44,876.924,188.9542,258.1582,618.7658,1065.8782,807.72,60.72,360.0,360.0,27.0,0.705609,0.580522,0.766065,0.294391,271007.31808,97557.98378,173449.3343,3212.024709,0.75,partly_satisfied
W4_P1,45.0,15,0 1 2 3 4 5 6 7 8 11 12 13 14 15 23,367.484,509.44,876.924,188.9542,382.6582,494.2658,1065.8782,683.22,60.72,300.0,300.0,22.5,0.563636,0.463717,0.723436,0.436364,255998.31808,144606.53378,111391.7843,2475.372984,0.625,partly_satisfied
W4_P1,36.0,12,0 1 2 3 4 5 6 11 12 13 14 23,367.484,509.44,876.924,188.9542,507.1582,369.7658,1065.8782,558.72,60.72,240.0,240.0,18.0,0.421662,0.346912,0.661809,0.578338,240989.31808,191655.08378,49334.2343,1370.395397,0.5,partly_satisfied
W4_P2,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,367.484,250.88,618.364,448.0962,9.7402,608.6238,1066.4602,1056.72,60.72,480.0,480.0,36.0,0.984248,0.570695,0.575956,0.015752,445585.81888,3680.82158,441904.9973,6137.569407,1.0,all_satisfied
W4_P2,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23,367.484,250.88,618.364,353.7584,39.9024,578.4616,972.1224,932.22,60.72,420.0,420.0,31.5,0.935471,0.59505,0.62052,0.064529,354880.16816,15079.11696,339801.0512,5393.667479,0.875,all_satisfied
W4_P2,54.0,18,0 1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 23,367.484,250.88,618.364,267.272,77.916,540.448,885.636,807.72,60.72,360.0,360.0,27.0,0.873997,0.610237,0.669103,0.126003,285064.8098,29444.4564,255620.3534,4733.710248,0.75,all_satisfied
W4_P2,45.0,15,0 1 2 3 4 5 6 8 9 12 13 14 15 16 23,367.484,250.88,618.364,227.146,162.29,456.074,845.51,683.22,60.72,300.0,300.0,22.5,0.737549,0.539407,0.667536,0.262451,244437.6174,61329.391,183108.2264,4069.071698,0.625,partly_satisfied
W4_P2,36.0,12,0 1 2 3 4 5 6 12 13 14 15 23,367.484,250.88,618.364,203.0342,262.6782,355.6858,821.3982,558.72,60.72,240.0,240.0,18.0,0.575205,0.433025,0.636608,0.424795,214783.11008,99266.09178,115517.0183,3208.806064,0.5,partly_satisfied
W4_P3,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,367.484,85.12,452.604,604.116,0.0,452.604,1056.72,1056.72,60.72,480.0,480.0,36.0,1.0,0.42831,0.42831,0.0,539282.3674,0.0,539282.3674,7490.032881,1.0,all_satisfied
W4_P3,63.0,21,0 1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 21 22 23,367.484,85.12,452.604,506.416,26.8,425.804,959.02,932.22,60.72,420.0,420.0,31.5,0.940787,0.443999,0.456763,0.059213,445878.8874,10127.72,435751.1674,6916.685197,0.875,all_satisfied
W4_P3,54.0,18,0 1 2 3 4 5 6 7 8 9 12 13 14 15 16 17 22 23,367.484,85.12,452.604,414.7718,59.6558,392.9482,867.3758,807.72,60.72,360.0,360.0,27.0,0.868194,0.453031,0.486491,0.131806,364727.85032,22543.92682,342183.9235,6336.739324,0.75,all_satisfied
W4_P3,45.0,15,0 1 2 3 4 5 6 7 8 9 14 15 16 17 23,367.484,85.12,452.604,338.8422,108.2262,344.3778,791.4462,683.22,60.72,300.0,300.0,22.5,0.760881,0.435125,0.504051,0.239119,295989.99928,40898.68098,255091.3183,5668.695962,0.625,partly_satisfied
W4_P3,36.0,12,0 1 2 3 4 5 6 7 8 9 15 23,367.484,85.12,452.604,272.5864,166.4704,286.1336,725.1904,558.72,60.72,240.0,240.0,18.0,0.632194,0.394563,0.512123,0.367806,237137.91636,62909.16416,174228.7522,4839.687561,0.5,partly_satisfied
W4_P4,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,367.484,20.48,387.964,668.756,0.0,387.964,1056.72,1056.72,60.72,480.0,480.0,36.0,1.0,0.36714,0.36714,0.0,578775.1034,0.0,578775.1034,8038.543103,1.0,all_satisfied
W4_P4,63.0,21,0 1 2 3 4 5 6 7 8 9 12 13 14 15 16 17 18 19 21 22 23,367.484,20.48,387.964,561.1118,16.8558,371.1082,949.0758,932.22,60.72,420.0,420.0,31.5,0.956553,0.391021,0.398091,0.043447,477392.39732,6369.80682,471022.5905,7476.549056,0.875,all_satisfied
W4_P4,54.0,18,0 1 2 3 4 5 6 7 8 9 13 14 15 16 17 21 22 23,367.484,20.48,387.964,469.3022,49.5462,338.4178,857.2662,807.72,60.72,360.0,360.0,27.0,0.872292,0.394764,0.418979,0.127708,388715.37428,18723.50898,369991.8653,6851.701209,0.75,all_satisfied
W4_P4,45.0,15,0 1 2 3 4 5 6 7 8 9 15 16 17 22 23,367.484,20.48,387.964,380.9722,85.7162,302.2478,768.9362,683.22,60.72,300.0,300.0,22.5,0.779061,0.393073,0.442387,0.220939,310223.65128,32392.15198,277831.4993,6174.033318,0.625,partly_satisfied
W4_P4,36.0,12,0 1 2 3 4 5 6 7 8 9 15 23,367.484,20.48,387.964,287.9464,117.1904,270.7736,675.9104,558.72,60.72,240.0,240.0,18.0,0.697935,0.400606,0.484632,0.302065,238710.78036,44286.25216,194424.5282,5400.681339,0.5,partly_satisfied
W5_P1,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,309.98,509.44,819.42,395.9442,158.6442,660.7758,1215.3642,1056.72,60.72,480.0,480.0,36.0,0.806395,0.543685,0.625308,0.193605,429493.87508,59951.64318,369542.2319,5132.530999,1.0,all_satisfied
W5_P1,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23,309.98,509.44,819.42,305.3064,192.5064,626.9136,1124.7264,932.22,60.72,420.0,420.0,31.5,0.76507,0.557392,0.672495,0.23493,341757.10436,72748.16856,269008.9358,4269.983108,0.875,partly_satisfied
W5_P1,54.0,18,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 23,309.98,509.44,819.42,222.3924,234.0924,585.3276,1041.8124,807.72,60.72,360.0,360.0,27.0,0.714319,0.561836,0.724666,0.285681,276386.14076,88463.51796,187922.6228,3480.04857,0.75,partly_satisfied
W5_P1,45.0,15,0 1 2 3 4 5 6 9 10 11 13 14 15 16 23,309.98,509.44,819.42,212.7502,348.9502,470.4698,1032.1702,683.22,60.72,300.0,300.0,22.5,0.57415,0.455806,0.688607,0.42585,255520.46848,131868.28058,123652.1879,2747.826398,0.625,partly_satisfied
W5_P1,36.0,12,0 1 2 3 4 5 6 9 10 11 13 23,309.98,509.44,819.42,212.7502,473.4502,345.9698,1032.1702,558.72,60.72,240.0,240.0,18.0,0.422213,0.335187,0.619219,0.577787,240511.46848,178916.83058,61594.6379,1710.962164,0.5,partly_satisfied
W5_P2,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,309.98,250.88,560.86,505.7104,9.8504,551.0096,1066.5704,1056.72,60.72,480.0,480.0,36.0,0.982437,0.516618,0.521434,0.017563,464889.81396,3722.46616,461167.3478,6405.102053,1.0,all_satisfied
W5_P2,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23,309.98,250.88,560.86,406.7526,35.3926,525.4674,967.6126,932.22,60.72,420.0,420.0,31.5,0.936896,0.543056,0.563673,0.063104,370477.07524,13374.86354,357102.2117,5668.289075,0.875,all_satisfied
